Time,sys_ect\CCP:1,sys_iat\CCP:1,sys_bst_t\CCP:1,Current_gear_shift_position_(Current_gear),sys_pps_pct\CCP:1,fmsp_af_sp\CCP:1,Vehicle_Speed,knck_ron_fac\CCP:1,sys_map\CCP:1,afm_stk_flw_pct\CCP:1,sys_eng_spd\CCP:1,tq_clch_torq\CCP:1,hw_bat_vlt\CCP:1,afm_stk_flw\CCP:1,tq_imep_ref\CCP:1,sys_tps_pct\CCP:1,sys_fc_avg_rate\CCP:1,sys_bst_p\CCP:1,sys_trip_fc\CCP:1,Predicted_sum,,,
288000,27.82072368,22.40254934,22.46669408,2,0.046472382,13.33221114,15.62609649,1,45.57116913,35.43893914,1337.967105,-11.8629386,14.00566235,0.173068398,460.1052632,8.37233694,0.60079153,88.81760554,25594.27221,8540.019,,,
289000,27.87548396,22.3828125,22.4800885,2,0,13.32722622,15.20333241,1,44.12679757,34.63577676,1249.754425,-13.69026549,14.01024959,0.16909844,446.2300885,7.921418047,0.634022401,88.62897539,26203.06582,8869.583,,,
290000,27.94588068,22.3828125,22.48835227,2,0,13.33749112,14.6615767,1,44.29939631,34.63434393,1224.625,-13.68920455,14.00450107,0.169176136,445.4198864,7.83305775,0.627982955,88.57816051,26835.29915,9169.379,,,
291000,28.02899775,22.3828125,22.52568975,2,0,13.34814453,13.95213964,1,45.01291526,35.24499842,1146.981982,-11.83445946,14.0115208,0.172153507,452.696509,7.460475612,0.600295608,88.55686937,27446.9506,9441.162,,,
292000,28.09361173,22.3828125,22.49737279,2,0,13.35851511,11.20996958,1,45.86946903,36.08333621,1037.77323,-7.113938053,13.99569621,0.176280064,463.0862832,6.903967393,0.573639726,88.38429895,28057.34071,9706.826,,,
293000,28.17139104,22.3828125,22.52862279,1,0,13.35986328,8.548188606,1,47.62188883,37.14005462,938.0940265,3.326327434,13.99652586,0.181467512,476.0387168,6.622530507,0.537057522,88.16039823,28609.44469,9974.693,,,
294000,28.27191648,22.3828125,22.52509679,1,0,13.34336542,6.078263274,1,52.27143252,41.37989146,936.6570796,13.41205752,14.00547048,0.202606201,531.2710177,7.856709978,0.700445935,87.98506637,29186.58864,10234.82,,,
295000,28.38058036,22.3828125,22.50544085,0,0,13.32447597,2.658761161,1,54.85396903,40.98129272,834.3459821,2.156808036,13.96868897,0.199992589,525.6032366,6.384822301,0.478114537,88.31623186,29903.25419,10490.639,,,
296000,28.49944196,22.3828125,22.55189732,0,0,13.38378906,0,1,50.37747628,36.72964914,729.0591518,1.483258929,13.97116089,0.179336275,468.9676339,5.34665244,0.311697824,88.07693917,30227.45717,10745.418,,,
297000,28.61830357,22.3828125,22.57596261,0,0,13.38509696,0,1,49.00111607,35.51014492,726.9810268,-1.417410714,13.98324149,0.173411506,454.1395089,5.136816842,0.345241002,88.02521624,30557.32352,10990.781,,,
